data_type,template,inclusion,example,deprecated,notes,optional_values,alternate_title,alternate_format,sparql,export_header,sparql_dt_motif
id,ID,required manual,DOID:0080943,FALSE,replaced older 'iri/curie' header for simplicity; id now covered by obo id field,IRI or CURIE,CI,IRI or CURIE; CI means Class IRI --> type will be CLASS_TYPE,?iri a owl:Class .,ID,NA
label,A rdfs:label,required manual,"46,XX sex reversal 5",FALSE,NA,NA,NA,NA,?iri rdfs:label ?label .,LABEL,rdfs:label
parent id,SC % SPLIT=|,required manual,DOID:0111760,FALSE,"accepts CURIE or IRI; intended for only asserted subclass relationships between named classes
--> separated from subclass anon for practical purposes - ROBOT template is the same, ROBOT export differs",disease by infectious agent,NA,NA,"?iri rdfs:subClassOf ?parent .
FILTER(!isBlank(?parent))",SubClass Of [NAMED ID],rdfs:subClassOf
definition,A IAO:0000115,required manual,"A 46,XX sex reversal that is characterized by genital virilization in 46,XX individuals, associated with congenital heart disease and variable somatic anomalies including blepharophimosis-ptosis-epicanthus inversus syndrome and congenital diaphragmatic hernia and that has_material_basis_in heterozygous mutation in the NR2F2 gene on chromosome 15q26.",FALSE,NA,NA,NA,NA,?iri obo:IAO_0000115 ?definition .,obo:IAO_0000115,IAO:0000115
definition source(s),>A oboInOwl:hasDbXref SPLIT=|,required manual,url:https://pubmed.ncbi.nlm.nih.gov/29478779/,FALSE,NA,NA,NA,NA,"!<<.definition_axiom>>!
   oboInOwl:hasDbXref ?def_src .",NA,IAO:0000115-oboInOwl:hasDbXref
definition source type(s),>AI dc11:type SPLIT=|,optional manual,curator inference from journal publication,FALSE,do not quote!!!,"ECO codes, e.g. ECO:0007645",NA,NA,"!<<.definition_axiom>>!
   dc:type ?src_type .",NA,IAO:0000115-dc:type
synonym(s): exact,A oboInOwl:hasExactSynonym SPLIT=|,optional manual,hemangiosarcoma,FALSE,do not quote!!!,NA,NA,NA,"glueV: .synonym_stmt, syn_scope = ""Exact""",oboInOwl:hasExactSynonym,oboInOwl:hasExactSynonym
synonym(s): broad,A oboInOwl:hasBroadSynonym SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"glueV: .synonym_stmt, syn_scope = ""Broad""",oboInOwl:hasBroadSynonym,oboInOwl:hasBroadSynonym
synonym(s): narrow,A oboInOwl:hasNarrowSynonym SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"glueV: .synonym_stmt, syn_scope = ""Narrow""",oboInOwl:hasNarrowSynonym,oboInOwl:hasNarrowSynonym
synonym(s): related,A oboInOwl:hasRelatedSynonym SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"glueV: .synonym_stmt, syn_scope = ""Related""",oboInOwl:hasRelatedSynonym,oboInOwl:hasRelatedSynonym
acronym(s): exact,A oboInOwl:hasExactSynonym SPLIT=|,optional manual,CAMRQ,FALSE,"must be accompanied by ""acronym annotation"" header/template in the adjacent column to the rigth in robot template",NA,NA,NA,"glueV: .acronym_stmt, acronym_scope = ""Exact""",NA,oboInOwl:hasExactSynonym-OMO:0003012
acronym(s): broad,A oboInOwl:hasBroadSynonym SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"glueV: .acronym_stmt, acronym_scope = ""Broad""",NA,oboInOwl:hasBroadSynonym-OMO:0003012
acronym(s): narrow,A oboInOwl:hasNarrowSynonym SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"glueV: .acronym_stmt, acronym_scope = ""Narrow""",NA,oboInOwl:hasNarrowSynonym-OMO:0003012
acronym(s): related,A oboInOwl:hasRelatedSynonym SPLIT=|,optional manual,DES,FALSE,"must be accompanied by ""acronym annotation"" header/template in the adjacent column to the rigth in robot template",NA,NA,NA,"glueV: .acronym_stmt, acronym_scope = ""Related""",NA,oboInOwl:hasRelatedSynonym-OMO:0003012
acronym annotation,>AI oboInOwl:hasSynonymType,optional auto,acronym,FALSE,NA,NA,NA,NA,NA,NA,NA
xref(s),A oboInOwl:hasDbXref SPLIT=|,optional manual,OMIM:618901,FALSE,NA,NA,NA,NA,?iri oboInOwl:hasDbXref ?xref .,oboInOwl:hasDbXref,oboInOwl:hasDbXref
skos mapping(s): exact,A skos:exactMatch SPLIT=|,optional manual,OMIM:618901,FALSE,adds skos mappings as strings; current INCORRECT DO format,NA,NA,"should use IRIs and be as follows:
AI skos:exactMatch SPLIT=|
 - example input: https://omim.org/MIM:618901",?iri skos:exactMatch ?skos_exact .,skos:exactMatch,skos:exactMatch
skos mapping(s): broad,A skos:broadMatch SPLIT=|,optional manual,OMIM:PS613135,FALSE,adds skos mappings as strings; current INCORRECT DO format,NA,NA,"should use IRIs and be as follows:
AI skos:exactMatch SPLIT=|
 - example input: https://omim.org/MIM:618901",?iri skos:broadMatch ?skos_broad .,skos:broadMatch,skos:broadMatch
skos mapping(s): narrow,A skos:narrowMatch SPLIT=|,optional manual,OMIM:618901,FALSE,adds skos mappings as strings; current INCORRECT DO format,NA,NA,"should use IRIs and be as follows:
AI skos:exactMatch SPLIT=|
 - example input: https://omim.org/MIM:618901",?iri skos:narrowMatch ?skos_narrow .,skos:narrowMatch,skos:narrowMatch
skos mapping(s): related,A skos:relatedMatch SPLIT=|,optional manual,NA,FALSE,adds skos mappings as strings; current INCORRECT DO format,NA,NA,"should use IRIs and be as follows:
AI skos:exactMatch SPLIT=|
 - example input: https://omim.org/MIM:618901",?iri skos:relatedMatch ?skos_related .,skos:relatedMatch,skos:relatedMatch
eq class,EC % SPLIT=|,optional manual,disease and ('has material basis in' some (Viruses or Bacteria or Eukaryota)),FALSE,NA,NA,NA,NA,"?iri owl:equivalentClass ?eq .
FILTER(!isBlank(?eq))",Equivalent Class [NAMED ID],owl:equivalentClass
eq class anon,EC % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,Equivalent Class [ANON ID],NA
subclass anon,SC % SPLIT=|,optional manual,'disease has feature' some cherubism,FALSE,"intended for only subclass of anonymous logical expressions
--> separated from parent id for practical purposes - ROBOT template is the same, ROBOT export differs",NA,NA,NA,NA,SubClass Of [ANON ID],NA
subclass anon: inheritance,SC 'has material basis in' some % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
subclass anon: anatomical location,SC 'disease has location' some % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
subclass anon: onset,SC 'existence starts during' some % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
subclass anon: has_material_basis_in,SC has_material_basis_in some % SPLIT=|,optional manual,autosomal dominant inheritance,FALSE,do not quote standalone terms!!!,NA,NA,NA,NA,NA,NA
subclass anon: located_in,SC located_in some % SPLIT=|,optional manual,NA,FALSE,NA,rdfs:label (preferred); IRI or CURIE (possible),NA,NA,NA,NA,NA
disjoint class,DC % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"?iri owl:disjointClass ?disjoint .
FILTER(!isBlank(?disjoint))",Disjoint With [NAMED ID],owl:disjointWith
disjoint class anon,DC % SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,Disjoint With [ANON ID],NA
subset(s),AI oboInOwl:inSubset SPLIT=|,optional manual,DO_AGR_slim,FALSE,NA,any subset (aka 'slim') defined in doid-edit.owl,NA,NA,"?iri oboInOwl:inSubset ?subset_iri .
?subset_iri rdfs:label ?subset .",oboInOwl:inSubset,oboInOwl:inSubset
alternate id(s),A oboInOwl:hasAlternativeId SPLIT=|,optional manual,DOID:4,FALSE,NA,CURIE of deprecated term,NA,NA,?iri oboInOwl:hasAlternativeId ?alt_id .,oboInOwl:hasAlternativeId,oboInOwl:hasAlternativeId
deprecated,AT owl:deprecated^^xsd:boolean,optional manual,true,FALSE,NA,NA,NA,NA,?iri owl:deprecated ?deprecate .,owl:deprecated,owl:deprecated
obsolescence reason,AI IAO:0000231,optional manual,terms merged,FALSE,must be IRI or label of child of 'obsolescence reason specification' (IAO:0000225),NA,NA,NA,?iri IAO:0000231 ?obs_reason .,NA,IAO:0000231
term replaced by,AI IAO:0100001,optional manual,DOID:4,FALSE,NA,IRI or CURIE of term to replace by,NA,NA,?iri obo:IAO_0100001 ?term_replaced_by .,IAO:0100001,IAO:0100001
consider instead,oboInOwl:consider,optional manual,NA,FALSE,NA,NA,NA,NA,?iri oboInOwl:consider ?consider .,oboInOwl:consider,oboInOwl:consider
comment,A rdfs:comment,optional manual,This is a comment. There should only be one per term.,FALSE,NA,NA,NA,NA,?iri rdfs:comment ?comment .,rdfs:comment,rdfs:comment
created by,A oboInOwl:created_by,optional manual,NA,FALSE,NA,NA,NA,NA,?iri oboInOwl:created_by ?created_by .,oboInOwl:created_by,oboInOwl:created_by
creation date,A oboInOwl:creation_date,optional manual,NA,FALSE,NA,NA,NA,NA,?iri oboInOwl:creation_date ?creation_date .,oboInOwl:creation_date,oboInOwl:creation_date
obo id,A oboInOwl:id,required auto,DOID:0080943,FALSE,"required data, but not necessary to include in manual curation; will be inferred from iri/curie

if manually entered it must match the CURIE form of iri/curie",OBO CURIE,NA,NA,?iri oboInOwl:id ?id .,NA,oboInOwl:id
obo namespace,A oboInOwl:hasOBONamespace,required auto,disease_ontology,FALSE,"required data, but not necessary to include in manual curation; will be automatically added for any new disease

if manually entered it must be ""disease_ontology"" (without quotes)","OBO namespace of ontology: disease_ontology, symptoms, transmission_process",NA,NA,?iri oboInOwl:hasOBONamespace ?obo_namespace .,oboInOwl:hasOBONamespace,oboInOwl:hasOBONamespace
label - es,AL rdfs:label@es,optional manual,NA,FALSE,NA,NA,NA,NA,"label + glueV: .lang_stmt, object = ""?label"", lang = ""es""",NA,NA
definition - es,AL obo:IAO_0000115@es,optional manual,NA,FALSE,NA,NA,NA,NA,"definition + glueV: .lang_stmt, object = ""?definition"", lang = ""es""",NA,NA
synonym(s): exact - es,AL oboInOwl:hasExactSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"1. glueV: .lang_stmt, object = ""?!<<syn_scope>>!Synonym"", lang = ""es""
2. +glueV: .synonym_stmt, syn_scope = ""Exact""",NA,NA
synonym(s): broad - es,AL oboInOwl:hasBroadSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"1. glueV: .lang_stmt, object = ""?!<<syn_scope>>!Synonym"", lang = ""es""
2. +glueV: .synonym_stmt, syn_scope = ""Broad""",NA,NA
synonym(s): narrow - es,AL oboInOwl:hasNarrowSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"1. glueV: .lang_stmt, object = ""?!<<syn_scope>>!Synonym"", lang = ""es""
2. +glueV: .synonym_stmt, syn_scope = ""Narrow""",NA,NA
synonym(s): related - es,AL oboInOwl:hasRelatedSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,"1. glueV: .lang_stmt, object = ""?!<<syn_scope>>!Synonym"", lang = ""es""
2. +glueV: .synonym_stmt, syn_scope = ""Related""",NA,NA
acronym(s): exact - es,AL oboInOwl:hasExactSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
acronym(s): broad - es,AL oboInOwl:hasBroadSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
acronym(s): narrow - es,AL oboInOwl:hasNarrowSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
acronym(s): related - es,AL oboInOwl:hasRelatedSynonym@es SPLIT=|,optional manual,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
